#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	UNION	Conflict?	Degree
7122	CLDN5	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	36
56924	PAK6	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	44
2260	FGFR1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	1659
7148	TNXB	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	1371
7422	VEGFA	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	824
3109	HLA-DMB	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	86
5649	RELN	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	170
5305	PIP4K2A	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	97
23191	CYFIP1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	646
3084	NRG1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	996
26047	CNTNAP2	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	726
90952	ESAM	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	48
1496	CTNNA2	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	23
3123	HLA-DRB1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	92
7082	TJP1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	846
3105	HLA-A	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	494
1128	CHRM1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	8
85464	SSH2	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	168
387	RHOA	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	727
4684	NCAM1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	1082
1132	CHRM4	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	27
4609	MYC	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	555
4627	MYH9	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	390
10718	NRG3	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	8
3122	HLA-DRA	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	178
5155	PDGFB	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	1746
324	APC	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	1123
4629	MYH11	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	510
5595	MAPK3	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	293
22871	NLGN1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	120
5792	PTPRF	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	552
3119	HLA-DQB1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	182
3115	HLA-DPB1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	71
1460	CSNK2B	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	926
29119	CTNNA3	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	214
3117	HLA-DQA1	Positive	0.019608	Positive	0.019608	0.000384	0.019608	NO	133
